"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"txed",2.28400735294118,0.490962009803922,0.408984118034019,0.528083200200482,0.0629326817654982,0.0519061491714438,0.143305759803922,0.48046875,1705.96100483416,5410.72315068493,4150.04246575342,2103.71506849315,1037.22191780822,79.1456164383562,31923,7300,4.37301369863014,2.0372602739726,2.36945205479452,2.95630136986301,0.32
"txeduchat",1.99400915455035,0.382337102854066,0.414914118139925,0.488758553274682,0.0963273285853931,0.0792068146906857,0.183966074313409,0.198505654281099,1597.86565986083,4639.83819860279,4087.32260479042,1516.7755738523,1182.47180638723,86.1034181636727,35805,8016,4.46669161676647,1.78630239520958,1.9064371257485,2.89745508982036,0.434755489021956
"uted",2.55459459459459,0.45976833976834,0.479914023124815,0.504521197746813,0.0155647791283724,0.0344648680699674,0.226254826254826,0.433513513513514,1782.83014672777,5672.50868306802,3851.41172214182,1650.92547033285,871.019536903039,62.8335745296671,13492,1382,9.76266280752533,2.81259044862518,3.58755426917511,4.4232995658466,0.74095513748191
"utedchat",1.55514250309789,0.471623296158612,0.555173362685746,0.163181067694001,0.281645569620253,0.0591634562465603,0.0807930607187113,0.174473358116481,1606.67665380255,6353.79591836735,4503.03610675039,2008.15698587127,1440.02354788069,119.315541601256,7268,637,11.4097331240188,2.1287284144427,3.33124018838305,4.35164835164835,1.37833594976452
"vachat",1.90316260845228,0.225860621326616,0.4887156339762,0.267952400492409,0.243331965531391,0.058405142935303,0.115309263923874,0.240134340890008,1720.92215431962,9313.94227353464,6846.2513321492,3267.90230905861,1908.97424511545,165.658081705151,7311,1126,6.49289520426288,1.7841918294849,2.12966252220249,2.69360568383659,0.655417406749556
"wateachlead",2.08331656268867,0.687059770577581,0.587005316007088,0.31801535735381,0.0949793266391022,0.118369757826344,0.304487824511974,0.303884081304085,1662.55898993605,7232.07350689127,5097.71669218989,3147.88820826953,2309.2450229709,128.678407350689,8465,653,12.9632465543645,2.69218989280245,5.02297090352221,6.60336906584992,1.98315467075038
"wvedchat",1.58572453371593,0.389885222381636,0.658012744866651,0.141609629454803,0.200377625678546,0.110219494925655,0.15674318507891,0.118723098995696,1668.04864165497,7529.559566787,5441.89530685921,3030.80505415162,1573.47292418773,134.469314079422,4237,277,15.2960288808664,2.37184115523466,3.82671480144404,4.88808664259928,1.71119133574007
"wischat",2.50352112676056,0.263204225352113,0.481662073351707,0.456010175959296,0.0623277506889972,0.0489718041127835,0.195862676056338,0.272007042253521,1836.25816597222,11236.6566666667,7160.83111111111,3830.87777777778,2159.94888888889,195.584444444444,4717,900,5.24111111111111,1.87555555555556,1.77777777777778,2.33777777777778,0.443333333333333
"wyoedchat",1.61602697928376,0.652481130560463,0.652793793898731,0.239333263444806,0.107872942656463,0.0708669671873362,0.0979604946202023,0.135378191745624,1623.89797257726,6901.09202453988,4836.52147239264,2193.95705521472,1397.6490797546,119.060122699386,9539,815,11.7042944785276,1.99877300613497,2.52883435582822,3.54478527607362,0.862576687116564
"abed",2.74604208743241,0.547527526223207,0.316193889953237,0.628926930762417,0.0548791792843458,0.0575572173124858,0.184702586487719,0.439768063065998,1714.90766132004,12907.6934281553,10254.5667037957,1758.21326364493,916.869248564819,59.8250364150458,48543,11671,4.15928369462771,2.06040613486419,2.56841744494902,2.89075486247965,0.294661982692143
